Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,8048,,8048,,399889,,,0
H4,2016,2016,2016,4,0,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,198977,,198977,,39304353,,,0
H4,2016,2016,2016,4,0,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,90,,90,,9412,,,0
H4,2016,2016,2016,4,0,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,341877,,341877,,13191211,,,0
H4,2016,2016,2016,4,0,2,Export,72,Botswana,BWA,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,63270,,63270,,13049692,,,0
H4,2016,2016,2016,4,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,7685866,,7685866,,2625590293,,,6
H4,2016,2016,2016,4,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,1850814,,1850814,,70062710,,,6
H4,2016,2016,2016,4,0,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,12528,,12528,,848088,,,6
H4,2016,2016,2016,4,0,1,Import,90,Solomon Isds,SLB,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,,,53909,,,0
H4,2016,2016,2016,4,0,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,1622758,,1622758,,182869167,,,6
H4,2016,2016,2016,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,517250,,517250,,36106978,,,6
H4,2016,2016,2016,4,0,1,Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,31253467,,31253467,,17372396,,,6
H4,2016,2016,2016,4,0,2,Export,104,Myanmar,MMR,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,100,,100,,100,,,0
H4,2016,2016,2016,4,0,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,1075589,,1075589,,136572400,,,6
H4,2016,2016,2016,4,0,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,241279,,241279,,4091000,,,6
H4,2016,2016,2016,4,0,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,751742,,751742,,27737882,,,0
H4,2016,2016,2016,4,0,2,Export,116,Cambodia,KHM,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,224907,,224907,,90164,,,0
H4,2016,2016,2016,4,0,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,,,3427038895,,,0
H4,2016,2016,2016,4,0,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,,,650606705,,,0
H4,2016,2016,2016,4,0,3,Re-Export,124,Canada,CAN,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,,,40948448,,,0
H4,2016,2016,2016,4,0,4,Re-Import,124,Canada,CAN,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,,,478319,,,0
H4,2016,2016,2016,4,0,1,Import,132,Cabo Verde,CPV,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,40673,,40673,,271875,,,0
H4,2016,2016,2016,4,0,1,Import,140,Central African Rep.,CAF,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,49173,,49173,,7968162,,,0
H4,2016,2016,2016,4,0,1,Import,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,,,26387451,,,0
H4,2016,2016,2016,4,0,2,Export,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,,,649721,,,0
H4,2016,2016,2016,4,0,3,Re-Export,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,,,540637,,,0
H4,2016,2016,2016,4,0,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,,,269073736,,,0
H4,2016,2016,2016,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",1,No Quantity,,,,,1216496,,3746859,,,0
H4,2016,2016,2016,4,0,1,Import,156,China,CHN,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,10648316,,10648316,,5655860860,,,6
H4,2016,2016,2016,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,13959956,,13959956,,632703973,,,6
H4,2016,2016,2016,4,0,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,12303266,,12303266,,587265283,,,0
H4,2016,2016,2016,4,0,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,152218,,152218,,12372829,,,0
H4,2016,2016,2016,4,0,1,Import,188,Costa Rica,CRI,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,388730,,388730,,129172902,,,6
H4,2016,2016,2016,4,0,2,Export,188,Costa Rica,CRI,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,192352,,192352,,115947395,,,0
H4,2016,2016,2016,4,0,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,603597,,603597,,576207519,,,0
H4,2016,2016,2016,4,0,2,Export,191,Croatia,HRV,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,297248,,297248,,326688105,,,0
H4,2016,2016,2016,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,118774,,118774,,20427682,,,0
H4,2016,2016,2016,4,0,2,Export,196,Cyprus,CYP,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,35144,,35144,,234636,,,0
H4,2016,2016,2016,4,0,3,Re-Export,196,Cyprus,CYP,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,35084,,35084,,234296,,,0
H4,2016,2016,2016,4,0,1,Import,203,Czechia,CZE,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,991270,,991270,,628619463,,,6
H4,2016,2016,2016,4,0,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,2599601,,2599601,,233555424,,,6
H4,2016,2016,2016,4,0,1,Import,204,Benin,BEN,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,49400,,49400,,7176768,,,0
H4,2016,2016,2016,4,0,2,Export,204,Benin,BEN,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,68,,68,,1065,,,0
H4,2016,2016,2016,4,0,1,Import,208,Denmark,DNK,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,6423224,,6423224,,599238244,,,6
H4,2016,2016,2016,4,0,2,Export,208,Denmark,DNK,0,World,WLD,,,,,,,,3002,"Pharmaceutical products // Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",8,Weight in kilograms,,,6222089,,6222089,,2267131553,,,6
